# PP3 device database for version 0.99
# 
# name   flash page  ID  mask family_type
# flash size and page size in bytes 1 WORD = 2 BYTES
# 
# PIC16 family
16f1503   4096   32 2CE0 FFE0 CF_P16F_A
16lf1503  4096   32 2DA0 FFE0 CF_P16F_A
16f1507   4096   32 2D00 FFE0 CF_P16F_A
16f1508   8192   32 2D20 FFE0 CF_P16F_A
16f1509   16384  32 2D40 FFE0 CF_P16F_A
16lf1507  4096   32 2DC0 FFE0 CF_P16F_A
16lf1508  8192   32 2DE0 FFE0 CF_P16F_A
16lf1509  16384  32 2E00 FFE0 CF_P16F_A
16f1454   16384  64 3020 FFFF CF_P16F_A
16f1455   16384  64 3021 FFFF CF_P16F_A
16f1459   16384  64 3023 FFFF CF_P16F_A
16lf1454  16384  64 3024 FFFF CF_P16F_A
16lf1455  16384  64 3025 FFFF CF_P16F_A
16flf459  16384  64 3027 FFFF CF_P16F_A
16f1829   16384  64 27E0 FFE0 CF_P16F_A
16lf1829  16384  64 28E0 FFE0 CF_P16F_A
16f1828   8192   64 27C0 FFE0 CF_P16F_A
16lf1828  8192   64 28C0 FFE0 CF_P16F_A
16f1825   16384  64 2760 FFE0 CF_P16F_A
16lf1825  16384  64 2860 FFE0 CF_P16F_A
16f1826   4096   16 2780 FFE0 CF_P16F_A
16lf1826  4096   16 2880 FFE0 CF_P16F_A
16f1827   8192   16 27A0 FFE0 CF_P16F_A
16lf1827  8192   16 28A0 FFE0 CF_P16F_A
16f1824   8192   64 2740 FFE0 CF_P16F_A
16lf1824  8192   64 2840 FFE0 CF_P16F_A
16f1847   16384  64 1480 FFE0 CF_P16F_A
16lf1847  16384  64 14A0 FFE0 CF_P16F_A
12f1840   8192   32 1B80 FFE0 CF_P16F_A
12lf1840  8192   32 1BC0 FFE0 CF_P16F_A
12f1822   4096   32 2700 FFE0 CF_P16F_A
12lf1822  4096   32 2800 FFE0 CF_P16F_A
12lf1552  4096   32 2BC0 FFE0 CF_P16F_A
12f1572   4096   32 3050 FFFF CF_P16F_A
12f1571   2048   16 3051 FFFF CF_P16F_A
12lf1572  4096   32 3052 FFFF CF_P16F_A
12lf1571  2048   16 3053 FFFF CF_P16F_A
16f1574   8192   32 3000 FFFF CF_P16F_A
16lf1574  8192   32 3004 FFFF CF_P16F_A
16f1575   16384  64 3001 FFFF CF_P16F_A
16lf1575  16384  64 3005 FFFF CF_P16F_A
16f1578   8192   64 3002 FFFF CF_P16F_A
16lf1578  8192   64 3006 FFFF CF_P16F_A
16f1579   16384  64 3003 FFFF CF_P16F_A
16lf1579  16384  64 3007 FFFF CF_P16F_A
12f1501   2048   32 2CC0 FFE0 CF_P16F_A
12lf1501  2048   32 2D80 FFE0 CF_P16F_A
12f1612   4096   32 3058 FFFF CF_P16F_B
12lf1612  4096   32 3059 FFFF CF_P16F_B
16f1613   4096   32 304C FFFF CF_P16F_B
16lf1613  4096   32 304D FFFF CF_P16F_B
16f1614   8192   64 3078 FFFF CF_P16F_B
16lf1614  8192   64 307A FFFF CF_P16F_B
16f1615   16384  64 307C FFFF CF_P16F_B
16lf1615  16384  64 307E FFFF CF_P16F_B
16f1618   8192   64 3079 FFFF CF_P16F_B
16lf1618  8192   64 307B FFFF CF_P16F_B
16f1619   16384  64 307D FFFF CF_P16F_B
16lf1619  16384  64 307F FFFF CF_P16F_B
16f1512   2048   64 1700 FFE0 CF_P16F_A
16f1513   4096   64 1640 FFE0 CF_P16F_A
16f1516   8192   64 1680 FFE0 CF_P16F_A
16f1517   8192   64 16A0 FFE0 CF_P16F_A
16f1518   16384  64 16C0 FFE0 CF_P16F_A
16f1519   16384  64 16E0 FFE0 CF_P16F_A
16f1526   8192   64 1580 FFE0 CF_P16F_A
16f1527   16384  64 15A0 FFE0 CF_P16F_A
16lf1512  2048   64 1720 FFE0 CF_P16F_A
16lf1513  4096   64 1740 FFE0 CF_P16F_A
16lf1516  8192   64 1780 FFE0 CF_P16F_A
16lf1517  8192   64 17A0 FFE0 CF_P16F_A
16lf1518  16384  64 17C0 FFE0 CF_P16F_A
16lf1519  16384  64 17E0 FFE0 CF_P16F_A
16lf1526  8192   64 15C0 FFE0 CF_P16F_A
16lf1527  16384  64 15E0 FFE0 CF_P16F_A
16f1782   2048   64 2A00 FFE0 CF_P16F_A
16f1783   4096   64 2A20 FFE0 CF_P16F_A
16f1784   4096   64 2A40 FFE0 CF_P16F_A
16f1786   8192   64 2A60 FFE0 CF_P16F_A
16f1787   8192   64 2A80 FFE0 CF_P16F_A
16f1788   16384  64 302B FFFF CF_P16F_A
16f1789   16384  64 302A FFFF CF_P16F_A
16lf1782  2048   64 2AA0 FFE0 CF_P16F_A
16lf1783  4096   64 2AC0 FFE0 CF_P16F_A
16lf1784  4096   64 2AE0 FFE0 CF_P16F_A
16lf1786  8192   64 2B00 FFE0 CF_P16F_A
16lf1787  8192   64 2B20 FFE0 CF_P16F_A
16lf1788  16384  64 302D FFFF CF_P16F_A
16lf1789  16384  64 302C FFFF CF_P16F_A
16lf1902  2084   16 2C20 FFE0 CF_P16F_A
16lf1903  4096   16 2C00 FFE0 CF_P16F_A
16lf1904  4096   16 2C80 FFE0 CF_P16F_A
16lf1906  8192   16 2C60 FFE0 CF_P16F_A
16lf1907  8192   16 2C40 FFE0 CF_P16F_A
16f1933   4096   16 2300 FFE0 CF_P16F_A
16f1934   4096   16 2340 FFE0 CF_P16F_A
16f1936   8192   16 2360 FFE0 CF_P16F_A
16f1937   8192   16 2380 FFE0 CF_P16F_A
16f1938   16384  16 23A0 FFE0 CF_P16F_A
16f1939   16384  16 23C0 FFE0 CF_P16F_A
16f1946   8192   16 2500 FFE0 CF_P16F_A
16f1947   16384  16 2520 FFE0 CF_P16F_A
16lf1933  4096   16 2400 FFE0 CF_P16F_A
16lf1934  4096   16 2440 FFE0 CF_P16F_A
16lf1936  8192   16 2460 FFE0 CF_P16F_A
16lf1937  8192   16 2480 FFE0 CF_P16F_A
16lf1938  16384  16 24A0 FFE0 CF_P16F_A
16lf1939  16384  16 24C0 FFE0 CF_P16F_A
16lf1946  8192   16 2580 FFE0 CF_P16F_A
16lf1947  16384  16 25A0 FFE0 CF_P16F_A
16f1713   4096   64 3049 FFFF CF_P16F_A
16f1716   8192   64 3048 FFFF CF_P16F_A
16f1717   8192   64 305C FFFF CF_P16F_A
16f1718   16384  64 305B FFFF CF_P16F_A
16f1719   16384  64 305A FFFF CF_P16F_A
16lf1713  4096   64 304B FFFF CF_P16F_A
16lf1716  8192   64 304A FFFF CF_P16F_A
16lf1717  8192   64 305F FFFF CF_P16F_A
16lf1718  16384  64 305E FFFF CF_P16F_A
16lf1719  16384  64 305D FFFF CF_P16F_A
16f1703   4096   16 3061 FFFF CF_P16F_A
16f1704   8192   16 3043 FFFF CF_P16F_A
16f1705   16384  16 3055 FFFF CF_P16F_A
16f1707   4096   16 3060 FFFF CF_P16F_A
16f1708   8192   16 3042 FFFF CF_P16F_A
16f1709   16384  16 3054 FFFF CF_P16F_A
16lf1703  4096   16 3063 FFFF CF_P16F_A
16lf1704  8192   16 3045 FFFF CF_P16F_A
16lf1705  16384  16 3057 FFFF CF_P16F_A
16lf1707  4096   16 3062 FFFF CF_P16F_A
16lf1708  8192   16 3044 FFFF CF_P16F_A
16lf1709  16384  16 3056 FFFF CF_P16F_A
16f1764   8192   16 3080 FFFF CF_P16F_A
16f1765   16384  16 3081 FFFF CF_P16F_A
16f1768   8192   16 3084 FFFF CF_P16F_A
16f1769   16384  16 3085 FFFF CF_P16F_A
16lf1764  8192   16 3082 FFFF CF_P16F_A
16lf1765  16384  16 3083 FFFF CF_P16F_A
16lf1768  8192   16 3086 FFFF CF_P16F_A
16lf1769  16384  16 3087 FFFF CF_P16F_A
# PIC18xxKxx family
18f24k50  16384  64 5CC0 FFE0 CF_P18F_A
18lf24k50 16384  64 5CE0 FFE0 CF_P18F_A
18f25k50  32768  64 5C20 FFE0 CF_P18F_A 
18lf25k50 32768  64 5CA0 FFE0 CF_P18F_A 
18f45k50  32768  64 5C00 FFE0 CF_P18F_A 
18lf45k50 32768  64 5C80 FFE0 CF_P18F_A 
18f26k50  65536  64 5D20 FFE0 CF_P18F_A 
18lf26k50 65536  64 5D60 FFE0 CF_P18F_A 
18f46k50  65536  64 5D00 FFE0 CF_P18F_A 
18lf46k50 65536  64 5D40 FFE0 CF_P18F_A 
18f23k22  8192   64 5740 FFE0 CF_P18F_A 
18f24k22  16384  64 5640 FFE0 CF_P18F_A 
18lf23k22 8192   64 5760 FFE0 CF_P18F_A 
18lf24k22 16384  64 5660 FFE0 CF_P18F_A 
18f43k22  8192   64 5700 FFE0 CF_P18F_A 
18f44k22  16384  64 5600 FFE0 CF_P18F_A 
18lf43k22 8192   64 5720 FFE0 CF_P18F_A 
18lf44k22 16384  64 5620 FFE0 CF_P18F_A 
18f26k22  65536  64 5440 FFE0 CF_P18F_A 
18f46k22  65536  64 5400 FFE0 CF_P18F_A 
18f25k22  32768  64 5540 FFE0 CF_P18F_A 
18f45k22  32768  64 5500 FFE0 CF_P18F_A 
18lf26k22 65536  64 5460 FFE0 CF_P18F_A 
18lf46k22 65536  64 5420 FFE0 CF_P18F_A 
18lf25k22 32768  64 5560 FFE0 CF_P18F_A 
18lf45k22 32768  64 5520 FFE0 CF_P18F_A 
# PIC18FxxJxx family
18f24j50  16384  64 4C00 FFE0 CF_P18F_B 
18lf24j50 16384  64 4CC0 FFE0 CF_P18F_B 
18f44j50  16384  64 4C60 FFE0 CF_P18F_B 
18lf44j50 16384  64 4D20 FFE0 CF_P18F_B 
18f25j50  32768  64 4C20 FFE0 CF_P18F_B 
18lf25j50 32768  64 4CE0 FFE0 CF_P18F_B 
18f45j50  32768  64 4C80 FFE0 CF_P18F_B 
18lf45j50 32768  64 4D40 FFE0 CF_P18F_B 
18f26j50  65536  64 4C40 FFE0 CF_P18F_B 
18lf26j50 65536  64 4D00 FFE0 CF_P18F_B 
18f46j50  65536  64 4CA0 FFE0 CF_P18F_B 
18lf46j50 65536  64 4D60 FFE0 CF_P18F_B 
18f24j11  16384  64 4D80 FFE0 CF_P18F_B 
